analysis,mass,intensity
20240815_67_BVCZ_1,147994.09375,4591.14422243474
20240815_67_BVCZ_1,147994.203125,4603.17703441855
20240815_67_BVCZ_1,147994.578125,4667.1869707472
20240815_67_BVCZ_1,147995.03125,4583.69362716654
20240815_67_BVCZ_1,147995.15625,4616.19022750772
20240815_67_BVCZ_1,147995.546875,4592.34895191759
20240815_67_BVCZ_1,147996,4660.78287529904
20240815_67_BVCZ_1,147996.078125,4578.73052708384
20240815_67_BVCZ_1,147996.46875,4601.34078402124
20240815_67_BVCZ_1,147996.953125,4559.578086677
20240815_67_BVCZ_1,147997.015625,4598.54166307684
20240815_67_BVCZ_1,147997.421875,4521.60992239208
20240815_67_BVCZ_1,147997.90625,4510.29714136263
20240815_67_BVCZ_1,147997.953125,4476.78136475445
20240815_67_BVCZ_1,147998.359375,4489.24717960588
20240815_67_BVCZ_1,147998.859375,4426.09838430181
20240815_67_BVCZ_1,147998.890625,4424.12256336021
20240815_67_BVCZ_1,147999.3125,4413.24337139174
20240815_67_BVCZ_1,147999.828125,4447.5861033807
20240815_67_BVCZ_1,147999.828125,4416.93444529411
20240815_67_BVCZ_1,148000.25,4459.01516979599
20240815_67_BVCZ_1,148000.75,4446.51911560954
20240815_67_BVCZ_1,148000.78125,4514.73197605327
20240815_67_BVCZ_1,148001.203125,4512.39412101892
20240815_67_BVCZ_1,148001.703125,4571.83800525798
20240815_67_BVCZ_1,148001.734375,4588.06142277288
20240815_67_BVCZ_1,148002.15625,4680.68191698181
20240815_67_BVCZ_1,148002.625,4673.07484749049
20240815_67_BVCZ_1,148002.6875,4734.6307334641
20240815_67_BVCZ_1,148003.109375,4771.44271777656
20240815_67_BVCZ_1,148003.578125,4876.4198492611
20240815_67_BVCZ_1,148003.640625,4850.45295949286
20240815_67_BVCZ_1,148004.046875,4939.20050765071
20240815_67_BVCZ_1,148004.5,4971.47001371121
20240815_67_BVCZ_1,148004.59375,5016.71594338121
20240815_67_BVCZ_1,148005,4976.95375812026
20240815_67_BVCZ_1,148005.453125,5081.34282268899
20240815_67_BVCZ_1,148005.5625,5138.76633832535
20240815_67_BVCZ_1,148005.9375,5225.00774246506
20240815_67_BVCZ_1,148006.375,5246.01447215161
20240815_67_BVCZ_1,148006.5,5353.72328486865
